SPC_COUNTRY_ID,SDG_UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,REPORTING_TYPE,NATURE,SOURCE_DETAIL
CK,RATIO,2015,62.92,G,C,"Fiji Ministry of Forestry, WDI"
FM,RATIO,2015,91.8,G,C,FAO
FJ,RATIO,2015,55.68,G,C,"Fiji Ministry of Forestry, WDI"
PF,RATIO,2015,42.35,G,C,FAO
KI,RATIO,2015,15,G,C,FAO
MH,RATIO,2015,70.2,G,C,FAO
NR,RATIO,2015,0,G,C,FAO
NC,RATIO,2015,45.9,G,C,FAO
NU,RATIO,2015,69.6,G,C,FAO
PW,RATIO,2015,87.62,G,C,FAO
PG,RATIO,2015,77.8,G,C,FAO
WS,RATIO,2015,60.42,G,C,FAO
SB,RATIO,2015,78.06,G,C,FAO
TO,RATIO,2015,12.5,G,C,FAO
TV,RATIO,2015,33.3,G,C,FAO
VU,RATIO,2015,36.1,G,C,FAO
