SPC_COUNTRY_ID,SDG_UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,REPORTING_TYPE,NATURE,SOURCE_DETAIL
CK,INDEX,2017,76,G,C,IUCN
FM,INDEX,2017,69,G,C,IUCN
FJ,INDEX,2017,67,G,C,IUCN
PF,INDEX,2017,72,G,C,IUCN
KI,INDEX,2017,77,G,C,IUCN
MH,INDEX,2017,84,G,C,IUCN
NR,INDEX,2017,77,G,C,"IUCN, confidence intervals (71,83)"
NC,INDEX,2018,65,G,C,IUCN
NU,INDEX,2018,87,G,C,IUCN
PW,INDEX,2018,74,G,C,IUCN
PG,INDEX,2018,83,G,C,IUCN
WS,INDEX,2017,81,G,C,"IUCN, confidence intervals (55,97)"
SB,INDEX,2017,77,G,C,IUCN
TO,INDEX,2017,71,G,C,"IUCN, confidence intervals (67,75)"
TV,INDEX,2017,84,G,C,IUCN
VU,INDEX,2017,67,G,C,IUCN
