SC3CODE,Value
ASM-111,63
ASM-112,7
ASM-113,22
ASM-114,98
ASM-121,54
ASM-122,97
ASM-123,66
ASM-124,60
ASM-125,15
ASM-126,54
ASM-127,1
ASM-128,99
ASM-129,75
ASM-131,88
ASM-132,62
ASM-133,83
ASM-134,58
ASM-135,4
ASM-136,93
ASM-141,40
ASM-142,3
ASM-143,20
ASM-144,54
ASM-145,37
ASM-146,93
ASM-147,33
ASM-148,15
ASM-149,6
ASM-1410,76
ASM-1411,48
ASM-151,8
ASM-152,7
ASM-153,42
ASM-154,18
ASM-155,87
ASM-211,62
ASM-221,29
ASM-222,42
ASM-231,46
ASM-241,92
ASM-242,97
ASM-251,96
ASM-252,98
ASM-311,99
ASM-321,52
ASM-411,10
ASM-412,69
ASM-413,50
ASM-414,94
ASM-415,96
ASM-416,66
ASM-417,57
ASM-418,74
ASM-419,7
ASM-4110,41
ASM-4111,78
ASM-4112,84
ASM-4113,89
ASM-4114,72
ASM-421,11
ASM-422,43
ASM-423,75
ASM-431,50
ASM-432,21
ASM-433,96
ASM-434,11
ASM-441,14
ASM-442,28
ASM-443,57
ASM-444,83
ASM-445,23
ASM-446,16
ASM-447,87
ASM-448,73
COK-28,68
COK-26,15
COK-27,46
COK-21,17
COK-23,70
COK-18,91
COK-19,19
COK-20,69
COK-38,17
COK-34,18
COK-40,9
COK-39,81
COK-30,42
COK-29,8
COK-31,99
COK-35,24
COK-37,19
COK-36,67
COK-32,65
COK-33,6
COK-24,79
COK-25,65
COK-22,73
COK-06,97
COK-05,47
COK-01,47
COK-02,96
COK-04,24
COK-03,38
COK-12,57
COK-10,84
COK-11,63
COK-08,76
COK-09,21
COK-07,23
COK-13,13
COK-15,86
COK-17,96
COK-14,49
COK-41,76
COK-42,23
COK-43,9
COK-44,68
COK-45,57
FJI-1001,53
FJI-1002,22
FJI-1003,57
FJI-101,86
FJI-102,18
FJI-103,76
FJI-104,45
FJI-105,37
FJI-106,14
FJI-107,26
FJI-108,72
FJI-1101,29
FJI-1102,9
FJI-1103,31
FJI-1104,64
FJI-1201,69
FJI-1202,62
FJI-1203,71
FJI-1204,19
FJI-1301,100
FJI-1302,67
FJI-1401,53
FJI-1402,2
FJI-1403,85
FJI-1404,6
FJI-1405,75
FJI-1501,80
FJI-1502,16
FJI-1503,19
FJI-1504,8
FJI-1505,13
FJI-1506,10
FJI-1507,52
FJI-201,15
FJI-202,88
FJI-203,63
FJI-301,18
FJI-302,100
FJI-303,23
FJI-304,88
FJI-305,39
FJI-306,31
FJI-307,57
FJI-308,92
FJI-401,39
FJI-402,50
FJI-403,60
FJI-404,55
FJI-501,91
FJI-502,12
FJI-503,3
FJI-504,23
FJI-505,59
FJI-506,30
FJI-507,47
FJI-508,38
FJI-509,48
FJI-510,36
FJI-511,42
FJI-512,31
FJI-513,43
FJI-514,30
FJI-601,42
FJI-602,39
FJI-603,59
FJI-604,57
FJI-605,7
FJI-606,72
FJI-701,32
FJI-702,85
FJI-703,10
FJI-704,99
FJI-705,80
FJI-801,50
FJI-802,22
FJI-803,69
FJI-804,85
FJI-805,99
FJI-806,32
FJI-807,42
FJI-808,74
FJI-901,53
FJI-902,92
FJI-903,45
FJI-904,40
FJI-905,91
GUM-1,53
GUM-2,97
GUM-3,82
GUM-4,92
GUM-5,60
GUM-6,87
GUM-7,5
GUM-8,92
GUM-9,58
GUM-10,36
GUM-11,72
GUM-12,84
GUM-13,30
GUM-14,31
GUM-15,21
GUM-16,1
GUM-17,64
GUM-18,69
GUM-19,4
KIR-201,16
KIR-202,35
KIR-304,68
KIR-302,80
KIR-311,95
KIR-310,14
KIR-305,58
KIR-303,7
KIR-301,56
KIR-405,8
KIR-403,19
KIR-402,34
KIR-401,42
KIR-408,21
KIR-407,32
KIR-406,15
KIR-611,60
KIR-605,41
KIR-812,67
KIR-807,84
